saison,journee,nom_club,position,nb_points,nb_matchs,nb_victoires,nb_nuls,nb_defaites,nb_buts_pour,nb_buts_contre,nb_buts_diff,serie_resultats,position.dedup,serie_resultats.un,nom_club_actuel,initiales_nom_club_actuel,logo_png
2016-2017,1,Olympique Lyonnais,1,3,1,1,0,0,3,0,3,g,1,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2016-2017,1,FC Girondins de Bordeaux,2,3,1,1,0,0,3,2,1,G,2,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2016-2017,1,SM Caen,-,3,1,1,0,0,3,2,1,G,2,G,SM Caen,SMC,./logos_clubs/SMC.png
2016-2017,1,FC Metz,-,3,1,1,0,0,3,2,1,G,2,G,FC Metz,FCM,./logos_clubs/FCM.png
2016-2017,1,Montpellier Hérault SC,5,3,1,1,0,0,1,0,1,G,5,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2016-2017,1,FC Nantes,-,3,1,1,0,0,1,0,1,g,5,G,FC Nantes,FCN,./logos_clubs/FCN.png
2016-2017,1,OGC Nice,-,3,1,1,0,0,1,0,1,G,5,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2016-2017,1,Paris Saint-Germain FC,-,3,1,1,0,0,1,0,1,g,5,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2016-2017,1,EA Guingamp,9,1,1,0,1,0,2,2,0,n,9,N,EA Guingamp,EAG,./logos_clubs/EAG.png
2016-2017,1,AS Monaco FC,-,1,1,0,1,0,2,2,0,N,9,N,AS Monaco,ASM,./logos_clubs/ASM.png
2016-2017,1,Olympique de Marseille,11,1,1,0,1,0,0,0,0,N,11,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2016-2017,1,Toulouse FC,-,1,1,0,1,0,0,0,0,n,11,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2016-2017,1,Lille OSC,13,0,1,0,0,1,2,3,-1,p,13,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2016-2017,1,FC Lorient,-,0,1,0,0,1,2,3,-1,p,13,P,FC Lorient,FCL,./logos_clubs/FCL.png
2016-2017,1,AS Saint-Etienne,-,0,1,0,0,1,2,3,-1,p,13,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2016-2017,1,Angers SCO,16,0,1,0,0,1,0,1,-1,p,16,P,Angers SCO,SCO,./logos_clubs/SCO.png
2016-2017,1,SC Bastia,-,0,1,0,0,1,0,1,-1,P,16,P,SC Bastia,SCB,./logos_clubs/SCB.png
2016-2017,1,Dijon FCO,-,0,1,0,0,1,0,1,-1,P,16,P,Dijon FCO,DFCO,./logos_clubs/DFCO.png
2016-2017,1,Stade Rennais FC,-,0,1,0,0,1,0,1,-1,p,16,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2016-2017,1,AS Nancy Lorraine,20,0,1,0,0,1,0,3,-3,P,20,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2015-2016,1,Angers SCO,1,3,1,1,0,0,2,0,2,g,1,G,Angers SCO,SCO,./logos_clubs/SCO.png
2015-2016,1,SC Bastia,2,3,1,1,0,0,2,1,1,G,2,G,SC Bastia,SCB,./logos_clubs/SCB.png
2015-2016,1,AS Monaco FC,-,3,1,1,0,0,2,1,1,g,2,G,AS Monaco,ASM,./logos_clubs/ASM.png
2015-2016,1,Stade de Reims,-,3,1,1,0,0,2,1,1,g,2,G,Stade de Reims,SR,./logos_clubs/SR.png
2015-2016,1,Toulouse FC,-,3,1,1,0,0,2,1,1,G,2,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2015-2016,1,SM Caen,6,3,1,1,0,0,1,0,1,g,6,G,SM Caen,SMC,./logos_clubs/SMC.png
2015-2016,1,FC Nantes,-,3,1,1,0,0,1,0,1,G,6,G,FC Nantes,FCN,./logos_clubs/FCN.png
2015-2016,1,Paris Saint-Germain FC,-,3,1,1,0,0,1,0,1,g,6,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2015-2016,1,GFC Ajaccio,9,1,1,0,1,0,0,0,0,n,9,N,GFC Ajaccio,GFCA,./logos_clubs/GFCA.png
2015-2016,1,FC Lorient,-,1,1,0,1,0,0,0,0,n,9,N,FC Lorient,FCL,./logos_clubs/FCL.png
2015-2016,1,Olympique Lyonnais,-,1,1,0,1,0,0,0,0,N,9,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2015-2016,1,ESTAC Troyes,-,1,1,0,1,0,0,0,0,N,9,N,ESTAC Troyes,ESTAC,./logos_clubs/ESTAC.png
2015-2016,1,FC Girondins de Bordeaux,13,0,1,0,0,1,1,2,-1,P,13,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2015-2016,1,OGC Nice,-,0,1,0,0,1,1,2,-1,P,13,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2015-2016,1,Stade Rennais FC,-,0,1,0,0,1,1,2,-1,p,13,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2015-2016,1,AS Saint-Etienne,-,0,1,0,0,1,1,2,-1,p,13,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2015-2016,1,EA Guingamp,17,0,1,0,0,1,0,1,-1,p,17,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2015-2016,1,Lille OSC,-,0,1,0,0,1,0,1,-1,P,17,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2015-2016,1,Olympique de Marseille,-,0,1,0,0,1,0,1,-1,P,17,P,Olympique de Marseille,OM,./logos_clubs/OM.png
2015-2016,1,Montpellier Hérault SC,20,0,1,0,0,1,0,2,-2,P,20,P,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2014-2015,1,SM Caen,1,3,1,1,0,0,3,0,3,g,1,G,SM Caen,SMC,./logos_clubs/SMC.png
2014-2015,1,Olympique Lyonnais,2,3,1,1,0,0,2,0,2,G,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2014-2015,1,AS Saint-Etienne,-,3,1,1,0,0,2,0,2,g,2,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2014-2015,1,OGC Nice,4,3,1,1,0,0,3,2,1,G,4,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2014-2015,1,FC Lorient,5,3,1,1,0,0,2,1,1,g,5,G,FC Lorient,FCL,./logos_clubs/FCL.png
2014-2015,1,FC Girondins de Bordeaux,6,3,1,1,0,0,1,0,1,g,6,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2014-2015,1,FC Nantes,-,3,1,1,0,0,1,0,1,G,6,G,FC Nantes,FCN,./logos_clubs/FCN.png
2014-2015,1,SC Bastia,8,1,1,0,1,0,3,3,0,N,8,N,SC Bastia,SCB,./logos_clubs/SCB.png
